time_us_normalized,accel_x_raw,accel_y_raw,accel_z_raw,distance_cm,velocity_cm_s,pwm1,pwm2,pwm3,pwm4
0,169,176,175,0.0,0.0,0,0,0,0
500,169,176,175,0.0,0.0,0,0,0,0
1004,169,176,175,0.0,0.0,0,0,0,0
1508,169,176,176,0.0,0.0,0,0,0,0
2012,169,176,176,0.0,0.0,0,0,0,0
2516,169,176,175,0.0,0.0,0,0,0,0
3020,169,176,176,0.0,0.0,0,0,0,0
3524,169,175,176,0.0,0.0,0,0,0,0
4028,170,175,175,0.0,0.0,0,0,0,0
4532,169,175,176,0.0,0.0,0,0,0,0
5036,169,175,176,0.0,0.0,0,0,0,0
5540,169,174,176,0.0,0.0,0,0,0,0
6044,169,175,176,0.0,0.0,0,0,0,0
6548,168,175,176,0.0,0.0,0,0,0,0
7052,169,175,175,0.0,0.0,0,0,0,0
7556,169,175,175,0.0,0.0,0,0,0,0
8060,168,175,175,0.0,0.0,0,0,0,0
8564,169,175,175,0.0,0.0,0,0,0,0
9068,169,175,176,0.0,0.0,0,0,0,0
9572,168,175,175,0.0,0.0,0,0,0,0
10076,168,175,176,0.0,0.0,0,0,0,0
10580,169,175,175,0.0,0.0,0,0,0,0
11084,169,175,175,0.0,0.0,0,0,0,0
11588,169,175,175,0.0,0.0,0,0,0,0
12092,169,175,175,0.0,0.0,0,0,0,0
12596,169,175,176,0.0,0.0,0,0,0,0
13100,169,175,176,0.0,0.0,0,0,0,0
13604,169,175,175,0.0,0.0,0,0,0,0
14108,169,176,176,0.0,0.0,0,0,0,0
14612,169,176,175,0.0,0.0,0,0,0,0
15116,169,176,175,0.0,0.0,0,0,0,0
15620,169,177,176,0.0,0.0,0,0,0,0
16124,169,177,176,0.0,0.0,0,0,0,0
16628,169,177,175,0.0,0.0,0,0,0,0
17128,169,178,175,0.0,0.0,0,0,0,0
17628,169,178,175,0.0,0.0,0,0,0,0
18128,169,178,175,0.0,0.0,0,0,0,0
18628,169,178,175,0.0,0.0,0,0,0,0
19128,169,178,176,0.0,0.0,0,0,0,0
19628,169,177,175,0.0,0.0,0,0,0,0
20128,169,177,176,0.0,0.0,0,0,0,0
20628,169,176,175,0.0,0.0,0,0,0,0
21128,169,176,175,0.0,0.0,0,0,0,0
21628,169,176,176,0.0,0.0,0,0,0,0
22128,169,176,175,0.0,0.0,0,0,0,0
22628,169,175,176,0.0,0.0,0,0,0,0
23128,169,175,175,0.0,0.0,0,0,0,0
23628,168,175,175,0.0,0.0,0,0,0,0
24132,169,175,175,0.0,0.0,0,0,0,0
24636,169,176,175,0.0,0.0,0,0,0,0
25140,169,176,175,0.0,0.0,0,0,0,0
25644,169,176,176,0.0,0.0,0,0,0,0
26148,169,176,175,0.0,0.0,0,0,0,0
26652,169,176,175,0.0,0.0,0,0,0,0
27156,169,177,175,0.0,0.0,0,0,0,0
27660,169,177,175,0.0,0.0,0,0,0,0
28164,169,177,176,0.0,0.0,0,0,0,0
28668,169,177,175,0.0,0.0,0,0,0,0
39532,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
40036,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
40536,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
41036,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
41540,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
42044,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
42548,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
43052,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
43556,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
44060,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
44564,168,176,174,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
45068,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
45572,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
46076,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
46580,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
47084,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
47588,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
48092,168,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
48596,168,175,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
49096,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
49596,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
50100,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
50604,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
51108,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
51612,169,176,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
52116,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
52620,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
